jenis_kelamin,umur,jml_pinjaman,jkw,jml_angsuran_per_bulan,type_pinjaman,jenis_pinjaman,bi_sektor_ekonomi,col,bi_golongan_debitur,bi_gol_penjamin,saldo_nominatif,tunggakan_pokok,tunggakan_bunga,status kredit
1,41.0,555000.0,8.0,75000.0,100,301,6000.0,1,874,875,600000.0,600000.0,0.0,MACET
1,38.0,345000.0,5.0,78000.0,100,301,6000.0,1,874,875,390000.0,156000.0,0.0,MACET
0,55.0,3000000.0,12.0,295000.0,100,301,6000.0,1,874,875,3304000.0,2714000.0,0.0,MACET
1,40.0,880000.0,5.0,44200.0,100,301,6000.0,1,874,835,221000.0,221000.0,0.0,MACET
1,48.0,945565.59,6.0,157594.33,100,301,6000.0,1,874,875,945565.59,315188.66,0.0,MACET
0,48.0,320000.0,3.0,106666.68,100,301,6000.0,1,874,875,320000.0,320000.0,0.0,MACET
1,36.0,2540000.0,6.0,415000.0,100,301,6000.0,1,874,875,2490000.0,2490000.0,0.0,MACET
1,38.0,593334.0,6.0,98889.0,100,301,6000.0,1,874,875,593334.0,593334.0,0.0,MACET
1,37.0,2380000.0,6.0,341185.91,100,301,6000.0,1,874,875,2047114.21,2047114.21,0.0,MACET
0,33.0,920000.0,5.0,184000.0,100,301,6000.0,1,874,0,320000.0,136000.0,0.0,MACET
0,47.0,5000000.0,24.0,245833.41,100,301,6000.0,1,874,0,3333333.36,833333.32,150000.0,MACET
0,42.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,1200000.0,225000.0,33750.0,MACET
0,35.0,1500000.0,16.0,105000.0,100,301,6000.0,1,874,0,937500.0,0.0,0.0,LANCAR
1,32.0,333334.0,8.0,45416.75,100,301,6000.0,1,874,875,363334.0,363334.0,0.0,MACET
1,42.0,725000.0,24.0,30208.41,100,301,6000.0,1,874,875,725000.0,302083.3,0.0,MACET
0,3.0,136900.0,8.0,17112.5,100,301,6000.0,1,874,875,136900.0,136900.0,0.0,MACET
0,3.0,1567500.0,10.0,183750.0,100,301,6000.0,1,874,875,1837500.0,735000.0,0.0,MACET
0,53.0,383750.0,46.0,8342.45,100,301,6000.0,1,874,875,343750.0,43423.9,0.0,MACET
1,47.0,561250.0,16.0,36874.78,100,301,6000.0,1,874,875,514994.08,293746.2,0.0,MACET
1,42.0,511252.0,7.0,75689.0,100,301,6000.0,1,874,875,529821.0,151378.0,0.0,MACET
1,47.0,576650.2,57.0,16476.06,100,301,6000.0,1,874,875,496650.2,21166.6,0.0,MACET
1,30.0,3000000.0,12.0,0.0,100,301,6000.0,1,874,875,-3000000.0,0.0,0.0,LANCAR
1,30.0,4000000.0,12.0,0.0,100,301,6000.0,1,874,875,-4000000.0,0.0,0.0,LANCAR
1,36.0,1670000.0,24.0,75416.82,100,301,6000.0,1,874,875,1770000.0,714166.6,0.0,MACET
1,33.0,126670.0,12.0,10972.5,100,301,6000.0,1,874,875,131670.0,109725.0,0.0,MACET
0,2.0,42500000.0,25.0,2166000.0,100,301,6000.0,1,874,875,41500000.0,26200000.0,6064000.0,MACET
1,30.0,680000.0,40.0,18150.0,100,301,6000.0,1,874,875,726000.0,181500.0,0.0,MACET
1,41.0,840278.0,12.0,76325.28,100,301,6000.0,1,874,875,915902.04,763251.6,0.0,MACET
1,51.0,1910000.0,80.0,25282.97,100,301,6000.0,1,874,875,1962606.0,192825.7,0.0,MACET
1,41.0,1125000.0,12.0,96667.82,100,301,6000.0,1,874,875,1160012.08,966676.6,0.0,MACET
1,40.0,845000.0,20.0,47200.0,100,301,6000.0,1,874,875,924000.0,452000.0,0.0,MACET
1,27.0,975000.0,28.0,37187.56,100,301,6000.0,1,874,875,1011244.12,341872.8,0.0,MACET
1,38.0,2450000.0,10.0,245000.0,100,301,6000.0,1,874,875,2400000.0,930000.0,0.0,MACET
1,43.0,975000.0,12.0,93437.5,100,301,6000.0,1,874,875,971250.0,784375.0,0.0,MACET
0,50.0,1655000.0,50.0,33626.32,100,301,6000.0,1,874,875,1681316.0,336263.2,0.0,MACET
1,44.0,525000.0,9.0,49660.0,100,301,6000.0,1,874,875,510250.0,454225.0,0.0,MACET
1,28.0,2330402.0,24.0,105433.57,100,301,6000.0,1,874,875,1975402.0,499334.1,0.0,MACET
1,35.0,1833334.0,20.0,0.0,100,301,6000.0,1,874,875,1833334.0,1833334.0,330000.0,LANCAR
1,38.0,1499333.0,12.0,134944.49,100,301,6000.0,1,874,875,1619333.0,1349444.1,0.0,MACET
1,53.0,1190000.0,20.0,67750.0,100,301,6000.0,1,874,875,1355000.0,677500.0,0.0,MACET
1,38.0,666668.0,12.0,60555.74,100,301,6000.0,1,874,875,666668.0,545556.6,0.0,MACET
1,50.0,567501.0,12.0,47291.75,100,301,6000.0,1,874,875,347501.0,252917.5,0.0,MACET
1,34.0,215835.0,12.0,17986.25,100,301,6000.0,1,874,875,165835.0,129862.5,0.0,MACET
1,36.0,590004.08,12.0,49167.08,100,301,6000.0,1,874,875,340004.08,241670.0,0.0,MACET
1,36.0,1559581.0,20.0,92979.05,100,301,6000.0,1,874,875,1859581.0,929790.5,0.0,MACET
0,31.0,932500.0,16.0,62812.25,100,301,6000.0,1,874,875,254996.0,0.0,0.0,LANCAR
0,41.0,18834999.0,20.0,1435332.95,100,301,6000.0,1,874,875,3496744.0,0.0,493583.0,MACET
1,29.0,666667.0,8.0,28333.41,100,301,6000.0,1,874,875,226667.0,226667.0,0.0,MACET
0,40.0,650000.0,13.0,50000.0,100,301,6000.0,1,874,875,650000.0,500000.0,0.0,MACET
1,30.0,2950001.0,10.0,325646.0,100,301,6000.0,1,874,875,2950001.0,2950001.0,0.0,MACET
1,37.0,1340000.0,12.0,111666.74,100,301,6000.0,1,874,875,1025000.0,801666.6,0.0,MACET
1,46.0,1739996.0,16.0,108749.75,100,301,6000.0,1,874,875,1539996.0,887497.5,0.0,MACET
1,29.0,1499995.0,16.0,95312.3,100,301,6000.0,1,874,875,1524995.0,953121.8,0.0,MACET
1,3.0,1335330.0,15.0,70372.0,100,301,6000.0,1,874,875,895330.0,227665.0,0.0,MACET
1,36.0,566668.0,8.0,72083.5,100,301,6000.0,1,874,875,576668.0,576668.0,0.0,MACET
0,34.0,373000.0,6.0,74600.0,100,301,6000.0,1,874,875,273000.0,570600.0,0.0,MACET
1,35.0,2057588.0,8.0,257198.5,100,301,6000.0,1,874,875,2057588.0,2057588.0,0.0,MACET
1,31.0,1260000.0,16.0,78750.0,100,301,6000.0,1,874,0,1050000.0,577500.0,0.0,MACET
0,43.0,1436700.15,50.0,28734.15,100,301,6000.0,1,874,0,1190700.15,41340.0,0.0,MACET
1,40.0,2965000.0,7.0,423571.48,100,301,6000.0,1,874,0,2965000.0,1694285.68,0.0,MACET
0,40.0,1671666.69,17.0,98333.35,100,301,6000.0,1,874,0,1671666.69,983333.5,0.0,MACET
1,46.0,2250000.0,12.0,175000.0,100,301,6000.0,1,874,0,1875000.0,1875000.0,225000.0,MACET
1,33.0,177333.34,3.0,62667.35,100,301,6000.0,1,874,0,177333.34,177333.34,10668.01,MACET
1,55.0,166333.36,1.0,286333.36,100,301,6000.0,1,874,0,166333.36,166333.36,120000.0,MACET
